ano,UF do Estado,localidade,Mortos,localidade (uid)_y,nascidos
2018,11,Rondônia,8165,11,28091
2018,12,Acre,4094,12,16543
2018,13,Amazonas,17710,13,78087
2018,14,Roraima,2787,14,13344
2018,15,Pará,40513,15,141819
2018,16,Amapá,3345,16,15864
2018,17,Tocantins,7795,17,25480
2018,21,Maranhão,34525,21,117156
2018,22,Piauí,19983,22,49490
2018,23,Ceará,57028,23,131491
2018,24,Rio Grande do Norte,21209,24,48107
2018,25,Paraíba,26644,25,60205
2018,26,Pernambuco,62011,26,138317
2018,27,Alagoas,19411,27,52496
2018,28,Sergipe,13024,28,34256
2018,29,Bahia,90134,29,205332
2018,31,Minas Gerais,135619,31,263640
2018,32,Espírito Santo,23500,32,56721
2018,33,Rio de Janeiro,140706,33,220499
2018,35,São Paulo,298313,35,606146
2018,41,Paraná,73848,41,156201
2018,42,Santa Catarina,41268,42,99609
2018,43,Rio Grande do Sul,88618,43,140047
2018,50,Mato Grosso do Sul,16600,50,44275
2018,51,Mato Grosso,18205,51,58649
2018,52,Goiás,39507,52,98872
2018,53,Distrito Federal,12157,53,44195
2019,11,Rondônia,8338,11,27028
2019,12,Acre,4098,12,16280
2019,13,Amazonas,18327,13,77622
2019,14,Roraima,2779,14,14620
2019,15,Pará,40599,15,138341
2019,16,Amapá,3524,16,15356
2019,17,Tocantins,8021,17,24449
2019,21,Maranhão,35128,21,113317
2019,22,Piauí,20528,22,47933
2019,23,Ceará,56580,23,129185
2019,24,Rio Grande do Norte,21767,24,44031
2019,25,Paraíba,27378,25,57701
2019,26,Pernambuco,64295,26,133359
2019,27,Alagoas,20287,27,49803
2019,28,Sergipe,13473,28,32697
2019,29,Bahia,93365,29,197249
2019,31,Minas Gerais,141022,31,256892
2019,32,Espírito Santo,24431,32,54925
2019,33,Rio de Janeiro,144600,33,207989
2019,35,São Paulo,306190,35,583191
2019,41,Paraná,74566,41,153469
2019,42,Santa Catarina,42282,42,98032
2019,43,Rio Grande do Sul,89238,43,134596
2019,50,Mato Grosso do Sul,16815,50,43695
2019,51,Mato Grosso,18341,51,58852
2019,52,Goiás,41025,52,96112
2019,53,Distrito Federal,12804,53,42422
2020,11,Rondônia,10278,11,25798
2020,12,Acre,4860,12,15142
2020,13,Amazonas,24765,13,75635
2020,14,Roraima,3580,14,13760
2020,15,Pará,51643,15,132938
2020,16,Amapá,4617,16,14633
2020,17,Tocantins,9271,17,23729
2020,21,Maranhão,43271,21,106079
2020,22,Piauí,23646,22,45229
2020,23,Ceará,69512,23,121904
2020,24,Rio Grande do Norte,24674,24,43531
2020,25,Paraíba,31107,25,56379
2020,26,Pernambuco,76574,26,128481
2020,27,Alagoas,24148,27,48341
2020,28,Sergipe,15793,28,31784
2020,29,Bahia,107194,29,188960
2020,31,Minas Gerais,152128,31,247198
2020,32,Espírito Santo,29111,32,53767
2020,33,Rio de Janeiro,172185,33,199124
2020,35,São Paulo,349635,35,552310
2020,41,Paraná,82573,41,146291
2020,42,Santa Catarina,46444,42,97916
2020,43,Rio Grande do Sul,92791,43,130742
2020,50,Mato Grosso do Sul,19051,50,41308
2020,51,Mato Grosso,23397,51,57037
2020,52,Goiás,48358,52,92768
2020,53,Distrito Federal,16218,53,39361
2021,11,Rondônia,13901,11,25427
2021,12,Acre,5491,12,15379
2021,13,Amazonas,28962,13,78073
2021,14,Roraima,4252,14,13846
2021,15,Pará,52089,15,136873
2021,16,Amapá,4749,16,14936
2021,17,Tocantins,11491,17,23712
2021,21,Maranhão,44532,21,108505
2021,22,Piauí,25935,22,45609
2021,23,Ceará,73625,23,120191
2021,24,Rio Grande do Norte,26634,24,43367
2021,25,Paraíba,34629,25,56050
2021,26,Pernambuco,80605,26,126130
2021,27,Alagoas,24988,27,48753
2021,28,Sergipe,16654,28,31204
2021,29,Bahia,114966,29,184694
2021,31,Minas Gerais,189065,31,241632
2021,32,Espírito Santo,32765,32,52434
2021,33,Rio de Janeiro,188748,33,189466
2021,35,São Paulo,430344,35,524875
2021,41,Paraná,112441,41,141589
2021,42,Santa Catarina,59543,42,96315
2021,43,Rio Grande do Sul,117158,43,124420
2021,50,Mato Grosso do Sul,24917,50,42063
2021,51,Mato Grosso,28569,51,57639
2021,52,Goiás,60481,52,90885
2021,53,Distrito Federal,18820,53,37979
2022,11,Rondônia,10130,11,24385
2022,12,Acre,3607,12,13481
2022,13,Amazonas,18696,13,66597
2022,14,Roraima,3020,14,12166
2022,15,Pará,45017,15,125341
2022,16,Amapá,3565,16,12596
2022,17,Tocantins,9268,17,22439
2022,21,Maranhão,38510,21,94705
2022,22,Piauí,22906,22,41077
2022,23,Ceará,62942,23,110040
2022,24,Rio Grande do Norte,21451,24,36843
2022,25,Paraíba,30888,25,48054
2022,26,Pernambuco,68818,26,113309
2022,27,Alagoas,22238,27,44592
2022,28,Sergipe,14605,28,28279
2022,29,Bahia,100629,29,169246
2022,31,Minas Gerais,149449,31,215121
2022,32,Espírito Santo,25818,32,48146
2022,33,Rio de Janeiro,145337,33,173479
2022,35,São Paulo,348591,35,508834
2022,41,Paraná,86930,41,137970
2022,42,Santa Catarina,49350,42,96316
2022,43,Rio Grande do Sul,100142,43,112570
2022,50,Mato Grosso do Sul,19476,50,39038
2022,51,Mato Grosso,21136,51,55176
2022,52,Goiás,45731,52,88211
2022,53,Distrito Federal,12433,53,33508
